"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000016402.15",308.346612857944,-1.76980804020677,0.722559609559261,0.000438670065074391,0.0243833731748844
"ENSG00000226004.3",73.5432835656906,2.25612265345706,0.749669737285263,9.35271990055854e-05,0.00820103032210604
"ENSG00000203727.4",892.794276796913,-1.3267797687531,0.365066395271769,1.31566569980737e-05,0.0019453794200485
"ENSG00000178199.14",426.15912958607,1.84608411394304,0.617396430278704,9.89085479525219e-05,0.00847578818306781
"ENSG00000164694.18",255.921987123323,1.86312349298408,0.58695689196695,5.52596154206651e-05,0.00560600125408837
"ENSG00000186340.18",2196.10769949224,1.7135724477547,0.340951925442182,2.50126057499914e-08,1.66429464671193e-05
"ENSG00000006468.16",2915.26454586157,-1.21373601309896,0.473588498046181,0.000421071934810552,0.0238147759530478
"ENSG00000171243.8",345.002127456158,-1.97078864453772,0.74172003369125,0.000243814909336002,0.0162708693035645
"ENSG00000106537.9",3496.67467907567,-1.25345597927509,0.427291514176786,0.000141959777708957,0.0112292169619222
"ENSG00000232400.1",196.364649153564,-1.77995065344208,0.653942383264566,0.000218142183293568,0.0152315759649703
"ENSG00000122691.13",37.1634003768649,2.4334925663928,0.962811130029588,0.000305393696831251,0.0191840933159274
"ENSG00000241644.2",8999.4195163459,-1.48501080137735,0.387464882000584,5.70659495753807e-06,0.00101417270511909
"ENSG00000154678.19",1104.74179422178,-1.36161059480469,0.397892076101886,2.78631401729453e-05,0.00342580337028555
"ENSG00000164619.10",512.190643231368,-2.26445359434373,0.37353517944675,6.32661731476424e-11,1.10097741163009e-07
"ENSG00000302737.1",78.8139563871388,2.03802313048908,0.780088267241933,0.000263471010939771,0.0173775646661529
"ENSG00000243566.8",697.045963654271,-1.40336658548673,0.43197415556651,4.94040399128747e-05,0.00516532581795409
"ENSG00000254003.2",519.775205618416,-1.3969535055121,0.643262732539432,0.000937892783278509,0.0414021660855325
"ENSG00000164692.20",45060.4272278848,1.17641434866445,0.432744465368747,0.000291962665977028,0.0186405571484462
"ENSG00000106236.5",51.2782152229678,2.10211898361452,0.770153038046522,0.000226051520909832,0.0155913523095827
"ENSG00000091137.15",135.395674263796,1.66267551335465,0.526649446620546,6.40003439509819e-05,0.00629512948349158
"ENSG00000105971.16",6011.20529258313,-1.40428798315297,0.418451703648517,3.43672587504884e-05,0.00398713074211436
"ENSG00000105974.14",20198.1006652584,-1.41889767776991,0.434066933913886,4.68579708602255e-05,0.00495358819986393
"ENSG00000106025.10",1402.76609619895,-1.23043526713017,0.42111954634875,0.000151075805947216,0.0116707440474242
"ENSG00000158457.7",652.008695647894,1.27156227413682,0.490533148388847,0.0003842705443637,0.0223232839289078
"ENSG00000181072.13",151.416070216778,-2.45074602588012,0.748990630548649,3.52744175807111e-05,0.0040101163262735
"ENSG00000188883.6",178.728111231246,-1.37031210630004,0.57666704495369,0.0006130241500135,0.030818767435012
"ENSG00000310430.1",110.862453632842,1.83941311285051,0.885865822380193,0.000946915897683457,0.0414021660855325
